stateCd,districtCd,acNumber,rollCode,rollText,parts_total,files_found,missing_count,timestamp
S04,S0420,145,g,General Election / Bye Election Roll 2024,321,255,66,2025-08-28 11:44:23 UTC+05:30
S04,S0420,146,g,General Election / Bye Election Roll 2024,387,328,59,2025-08-28 11:44:40 UTC+05:30
S04,S0420,147,g,General Election / Bye Election Roll 2024,366,292,74,2025-08-28 11:45:01 UTC+05:30
S04,S0422,152,g,General Election / Bye Election Roll 2024,316,251,65,2025-08-28 11:45:19 UTC+05:30
S04,S0422,153,g,General Election / Bye Election Roll 2024,317,264,53,2025-08-28 11:45:35 UTC+05:30
S04,S0422,154,g,General Election / Bye Election Roll 2024,438,350,88,2025-08-28 11:45:51 UTC+05:30
S04,S0422,155,g,General Election / Bye Election Roll 2024,423,343,80,2025-08-28 11:46:03 UTC+05:30
S04,S0422,156,g,General Election / Bye Election Roll 2024,368,336,32,2025-08-28 11:46:25 UTC+05:30
S04,S0422,157,g,General Election / Bye Election Roll 2024,399,352,47,2025-08-28 11:46:41 UTC+05:30
S04,S0422,158,g,General Election / Bye Election Roll 2024,417,338,79,2025-08-28 11:46:54 UTC+05:30
S04,S0429,192,g,General Election / Bye Election Roll 2024,367,302,65,2025-08-28 11:47:12 UTC+05:30
S04,S0429,193,g,General Election / Bye Election Roll 2024,362,326,36,2025-08-28 11:47:29 UTC+05:30
S04,S0429,194,g,General Election / Bye Election Roll 2024,371,349,22,2025-08-28 11:48:26 UTC+05:30
S04,S0429,195,g,General Election / Bye Election Roll 2024,326,286,40,2025-08-28 11:48:46 UTC+05:30
S04,S0429,196,g,General Election / Bye Election Roll 2024,376,331,45,2025-08-28 11:48:58 UTC+05:30
S04,S0429,197,g,General Election / Bye Election Roll 2024,373,332,41,2025-08-28 11:49:10 UTC+05:30
S04,S0429,198,g,General Election / Bye Election Roll 2024,376,323,53,2025-08-28 11:49:26 UTC+05:30
S04,S0430,199,g,General Election / Bye Election Roll 2024,418,346,72,2025-08-28 11:50:03 UTC+05:30
S04,S0430,200,g,General Election / Bye Election Roll 2024,346,295,51,2025-08-28 11:50:18 UTC+05:30
S04,S0430,201,g,General Election / Bye Election Roll 2024,382,335,47,2025-08-28 11:50:31 UTC+05:30
S04,S0430,202,g,General Election / Bye Election Roll 2024,421,347,74,2025-08-28 11:50:44 UTC+05:30
S04,S0413,78,g,General Election / Bye Election Roll 2024,300,266,34,2025-08-28 11:51:03 UTC+05:30
S04,S0413,79,g,General Election / Bye Election Roll 2024,296,261,35,2025-08-28 11:51:20 UTC+05:30
S04,S0413,80,g,General Election / Bye Election Roll 2024,350,298,52,2025-08-28 11:51:35 UTC+05:30
S04,S0413,81,g,General Election / Bye Election Roll 2024,324,286,38,2025-08-28 11:51:48 UTC+05:30
S04,S0413,82,g,General Election / Bye Election Roll 2024,343,313,30,2025-08-28 11:52:12 UTC+05:30
S04,S0413,83,g,General Election / Bye Election Roll 2024,354,316,38,2025-08-28 11:52:30 UTC+05:30
S04,S0413,84,g,General Election / Bye Election Roll 2024,286,254,32,2025-08-28 11:52:49 UTC+05:30
S04,S0413,85,g,General Election / Bye Election Roll 2024,361,311,50,2025-08-28 11:53:03 UTC+05:30
S04,S0413,86,g,General Election / Bye Election Roll 2024,349,305,44,2025-08-28 11:53:26 UTC+05:30
S04,S0413,87,g,General Election / Bye Election Roll 2024,366,329,37,2025-08-28 11:53:43 UTC+05:30
S04,S0436,225,g,General Election / Bye Election Roll 2024,397,337,60,2025-08-28 11:54:01 UTC+05:30
S04,S0436,226,g,General Election / Bye Election Roll 2024,367,305,62,2025-08-28 11:54:15 UTC+05:30
S04,S0436,227,g,General Election / Bye Election Roll 2024,403,344,59,2025-08-28 11:54:28 UTC+05:30
S04,S0436,228,g,General Election / Bye Election Roll 2024,412,332,80,2025-08-28 11:54:42 UTC+05:30
S04,S0436,229,g,General Election / Bye Election Roll 2024,414,358,56,2025-08-28 11:54:56 UTC+05:30
S04,S0436,230,g,General Election / Bye Election Roll 2024,296,250,46,2025-08-28 11:55:14 UTC+05:30
S04,S0436,231,g,General Election / Bye Election Roll 2024,415,357,58,2025-08-28 11:56:24 UTC+05:30
S04,S0436,232,g,General Election / Bye Election Roll 2024,362,304,58,2025-08-28 11:56:41 UTC+05:30
S04,S0436,233,g,General Election / Bye Election Roll 2024,402,338,64,2025-08-28 11:56:58 UTC+05:30
S04,S0436,234,g,General Election / Bye Election Roll 2024,398,329,69,2025-08-28 11:57:14 UTC+05:30
S04,S0415,99,g,General Election / Bye Election Roll 2024,390,333,57,2025-08-28 11:57:36 UTC+05:30
S04,S0415,100,g,General Election / Bye Election Roll 2024,364,300,64,2025-08-28 11:58:40 UTC+05:30
S04,S0415,101,g,General Election / Bye Election Roll 2024,397,330,67,2025-08-28 11:59:10 UTC+05:30
S04,S0415,102,g,General Election / Bye Election Roll 2024,410,346,64,2025-08-28 11:59:25 UTC+05:30
S04,S0415,103,g,General Election / Bye Election Roll 2024,426,373,53,2025-08-28 11:59:43 UTC+05:30
S04,S0415,104,g,General Election / Bye Election Roll 2024,386,323,63,2025-08-28 12:00:10 UTC+05:30
S04,S0434,216,g,General Election / Bye Election Roll 2024,375,339,36,2025-08-28 12:00:30 UTC+05:30
S04,S0434,217,g,General Election / Bye Election Roll 2024,329,296,33,2025-08-28 12:01:01 UTC+05:30
S04,S0434,218,g,General Election / Bye Election Roll 2024,305,262,43,2025-08-28 12:01:16 UTC+05:30
S04,S0438,240,g,General Election / Bye Election Roll 2024,376,313,63,2025-08-28 12:01:48 UTC+05:30
S04,S0438,242,g,General Election / Bye Election Roll 2024,413,352,61,2025-08-28 12:02:33 UTC+05:30
S04,S0438,241,g,General Election / Bye Election Roll 2024,396,319,77,2025-08-28 12:02:50 UTC+05:30
S04,S0438,243,g,General Election / Bye Election Roll 2024,410,335,75,2025-08-28 12:03:11 UTC+05:30
S04,S0431,203,g,General Election / Bye Election Roll 2024,346,292,54,2025-08-28 12:03:30 UTC+05:30
S04,S0431,204,g,General Election / Bye Election Roll 2024,354,294,60,2025-08-28 12:03:53 UTC+05:30
S04,S0431,205,g,General Election / Bye Election Roll 2024,354,312,42,2025-08-28 12:04:05 UTC+05:30
S04,S0431,206,g,General Election / Bye Election Roll 2024,430,359,71,2025-08-28 12:04:26 UTC+05:30
