stateCd,districtCd,acNumber,rollCode,rollText,parts_total,files_found,missing_count,timestamp,acLabel
S04,S0429,197,g,General Election / Bye Election Roll 2024,373,332,41,2025-08-28 11:49:10 UTC+05:30,Jagdishpur
S04,S0429,198,g,General Election / Bye Election Roll 2024,376,323,53,2025-08-28 11:49:26 UTC+05:30,Shahpur
S04,S0430,199,g,General Election / Bye Election Roll 2024,418,346,72,2025-08-28 11:50:03 UTC+05:30,Brahampur
S04,S0430,200,g,General Election / Bye Election Roll 2024,346,295,51,2025-08-28 11:50:18 UTC+05:30,Buxar
S04,S0430,201,g,General Election / Bye Election Roll 2024,382,335,47,2025-08-28 11:50:31 UTC+05:30,Dumraon
S04,S0430,202,g,General Election / Bye Election Roll 2024,421,347,74,2025-08-28 11:50:44 UTC+05:30,Rajpur
S04,S0413,78,g,General Election / Bye Election Roll 2024,300,266,34,2025-08-28 11:51:03 UTC+05:30,Kusheshwar Asthan
S04,S0413,79,g,General Election / Bye Election Roll 2024,296,261,35,2025-08-28 11:51:20 UTC+05:30,Gaura Bauram
S04,S0413,80,g,General Election / Bye Election Roll 2024,350,298,52,2025-08-28 11:51:35 UTC+05:30,Benipur
S04,S0413,81,g,General Election / Bye Election Roll 2024,324,286,38,2025-08-28 11:51:48 UTC+05:30,Alinagar
S04,S0413,82,g,General Election / Bye Election Roll 2024,343,313,30,2025-08-28 11:52:12 UTC+05:30,Darbhanga Rural
S04,S0413,83,g,General Election / Bye Election Roll 2024,354,316,38,2025-08-28 11:52:30 UTC+05:30,Darbhanga
S04,S0413,84,g,General Election / Bye Election Roll 2024,286,254,32,2025-08-28 11:52:49 UTC+05:30,Hayaghat
S04,S0413,85,g,General Election / Bye Election Roll 2024,361,311,50,2025-08-28 11:53:03 UTC+05:30,Bahadurpur
S04,S0413,86,g,General Election / Bye Election Roll 2024,349,305,44,2025-08-28 11:53:26 UTC+05:30,Keoti
S04,S0413,87,g,General Election / Bye Election Roll 2024,366,329,37,2025-08-28 11:53:43 UTC+05:30,Jale
S04,S0436,225,g,General Election / Bye Election Roll 2024,397,337,60,2025-08-28 11:54:01 UTC+05:30,Gurua
S04,S0436,226,g,General Election / Bye Election Roll 2024,367,305,62,2025-08-28 11:54:15 UTC+05:30,Sherghati
S04,S0436,227,g,General Election / Bye Election Roll 2024,403,344,59,2025-08-28 11:54:28 UTC+05:30,Imamganj
S04,S0436,228,g,General Election / Bye Election Roll 2024,412,332,80,2025-08-28 11:54:42 UTC+05:30,Barachatti
S04,S0436,229,g,General Election / Bye Election Roll 2024,414,358,56,2025-08-28 11:54:56 UTC+05:30,Bodh Gaya
S04,S0436,230,g,General Election / Bye Election Roll 2024,296,250,46,2025-08-28 11:55:14 UTC+05:30,Gaya Town
S04,S0436,231,g,General Election / Bye Election Roll 2024,415,357,58,2025-08-28 11:56:24 UTC+05:30,Tikari
S04,S0436,232,g,General Election / Bye Election Roll 2024,362,304,58,2025-08-28 11:56:41 UTC+05:30,Belaganj
S04,S0436,233,g,General Election / Bye Election Roll 2024,402,338,64,2025-08-28 11:56:58 UTC+05:30,Atri
S04,S0436,234,g,General Election / Bye Election Roll 2024,398,329,69,2025-08-28 11:57:14 UTC+05:30,Wazirganj
S04,S0415,99,g,General Election / Bye Election Roll 2024,390,333,57,2025-08-28 11:57:36 UTC+05:30,Baikunthpur
S04,S0415,100,g,General Election / Bye Election Roll 2024,364,300,64,2025-08-28 11:58:40 UTC+05:30,Barauli
S04,S0415,101,g,General Election / Bye Election Roll 2024,397,330,67,2025-08-28 11:59:10 UTC+05:30,Gopalganj
S04,S0415,102,g,General Election / Bye Election Roll 2024,410,346,64,2025-08-28 11:59:25 UTC+05:30,Kuchaikote
S04,S0415,103,g,General Election / Bye Election Roll 2024,426,373,53,2025-08-28 11:59:43 UTC+05:30,Bhorey
S04,S0415,104,g,General Election / Bye Election Roll 2024,386,323,63,2025-08-28 12:00:10 UTC+05:30,Hathua
S04,S0434,216,g,General Election / Bye Election Roll 2024,375,339,36,2025-08-28 12:00:30 UTC+05:30,Jehanabad
S04,S0434,217,g,General Election / Bye Election Roll 2024,329,296,33,2025-08-28 12:01:01 UTC+05:30,Ghosi
S04,S0434,218,g,General Election / Bye Election Roll 2024,305,262,43,2025-08-28 12:01:16 UTC+05:30,Makhdumpur
S04,S0438,240,g,General Election / Bye Election Roll 2024,376,313,63,2025-08-28 12:01:48 UTC+05:30,Sikandra
S04,S0438,242,g,General Election / Bye Election Roll 2024,413,352,61,2025-08-28 12:02:33 UTC+05:30,Jhajha
S04,S0438,241,g,General Election / Bye Election Roll 2024,396,319,77,2025-08-28 12:02:50 UTC+05:30,Jamui
S04,S0438,243,g,General Election / Bye Election Roll 2024,410,335,75,2025-08-28 12:03:11 UTC+05:30,Chakai
S04,S0431,203,g,General Election / Bye Election Roll 2024,346,292,54,2025-08-28 12:03:30 UTC+05:30,Ramgarh
S04,S0431,204,g,General Election / Bye Election Roll 2024,354,294,60,2025-08-28 12:03:53 UTC+05:30,Mohania
S04,S0431,205,g,General Election / Bye Election Roll 2024,354,312,42,2025-08-28 12:04:05 UTC+05:30,Bhabua
S04,S0431,206,g,General Election / Bye Election Roll 2024,430,359,71,2025-08-28 12:04:26 UTC+05:30,Chainpur
S04,S0410,63,g,General Election / Bye Election Roll 2024,339,292,47,2025-08-28 12:04:45 UTC+05:30,Katihar
S04,S0410,64,g,General Election / Bye Election Roll 2024,338,285,53,2025-08-28 12:05:02 UTC+05:30,Kadwa
S04,S0410,65,g,General Election / Bye Election Roll 2024,412,352,60,2025-08-28 12:05:16 UTC+05:30,Balrampur
S04,S0410,66,g,General Election / Bye Election Roll 2024,379,330,49,2025-08-28 12:05:30 UTC+05:30,Pranpur
S04,S0410,67,g,General Election / Bye Election Roll 2024,380,306,74,2025-08-28 12:05:46 UTC+05:30,Manihari
S04,S0410,68,g,General Election / Bye Election Roll 2024,341,286,55,2025-08-28 12:06:05 UTC+05:30,Barari
S04,S0410,69,g,General Election / Bye Election Roll 2024,353,300,53,2025-08-28 12:06:22 UTC+05:30,Korha
S04,S0421,148,g,General Election / Bye Election Roll 2024,305,272,33,2025-08-28 12:10:38 UTC+05:30,Alauli
S04,S0421,149,g,General Election / Bye Election Roll 2024,305,278,27,2025-08-28 12:10:50 UTC+05:30,Khagaria
S04,S0421,150,g,General Election / Bye Election Roll 2024,387,329,58,2025-08-28 12:11:02 UTC+05:30,Beldaur
S04,S0421,151,g,General Election / Bye Election Roll 2024,375,317,58,2025-08-28 12:11:17 UTC+05:30,Parbatta
S04,S0408,52,g,General Election / Bye Election Roll 2024,356,301,55,2025-08-28 12:11:49 UTC+05:30,Bahadurganj
S04,S0408,53,g,General Election / Bye Election Roll 2024,360,301,59,2025-08-28 12:12:02 UTC+05:30,Thakurganj
S04,S0408,54,g,General Election / Bye Election Roll 2024,347,298,49,2025-08-28 12:12:17 UTC+05:30,Kishanganj
S04,S0408,55,g,General Election / Bye Election Roll 2024,303,266,37,2025-08-28 12:12:33 UTC+05:30,Kochadhaman
S04,S0425,167,g,General Election / Bye Election Roll 2024,436,349,87,2025-08-28 12:12:59 UTC+05:30,Surajgarha
S04,S0425,168,g,General Election / Bye Election Roll 2024,468,393,75,2025-08-28 12:14:08 UTC+05:30,Lakhisarai
S04,S0411,70,g,General Election / Bye Election Roll 2024,436,354,82,2025-08-28 12:14:27 UTC+05:30,Alamnagar
S04,S0411,71,g,General Election / Bye Election Roll 2024,381,312,69,2025-08-28 12:14:40 UTC+05:30,Bihariganj
S04,S0411,72,g,General Election / Bye Election Roll 2024,371,328,43,2025-08-28 12:14:58 UTC+05:30,Singheshwar
S04,S0411,73,g,General Election / Bye Election Roll 2024,404,348,56,2025-08-28 12:15:07 UTC+05:30,Madhepura
S04,S0405,31,g,General Election / Bye Election Roll 2024,355,301,54,2025-08-28 12:15:26 UTC+05:30,Harlakhi
S04,S0405,32,g,General Election / Bye Election Roll 2024,374,307,67,2025-08-28 12:15:39 UTC+05:30,Benipatti
S04,S0405,33,g,General Election / Bye Election Roll 2024,374,315,59,2025-08-28 12:15:58 UTC+05:30,Khajauli
S04,S0405,34,g,General Election / Bye Election Roll 2024,383,338,45,2025-08-28 12:16:08 UTC+05:30,Babubarhi
S04,S0405,35,g,General Election / Bye Election Roll 2024,384,333,51,2025-08-28 12:16:22 UTC+05:30,Bisfi
S04,S0405,36,g,General Election / Bye Election Roll 2024,422,364,58,2025-08-28 12:16:35 UTC+05:30,Madhubani
