FinYear,State_sel,State_code,District_sel,District_code,Block_sel,Block_code,Panchayat_sel,Panchayat_code,Village_sel,Village_code,sr_no,habitation,SC,ST,GEN,TOTAL
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Allikori,303151,Khanapur,599456,1,Allikori,0,109,0,109
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Allikori,303151,Khanapur,599456,2,Pothamloddi,0,104,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankapur,303262,Anakpur,599411,1,Ankapur,0,332,18,350
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankapur,303262,Anakpur,599411,2,Kolamguda,0,88,0,88
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankapur,303262,Chinchughat,599406,1,Chinna Pendurloddi,0,62,0,62
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankapur,303262,Chinchughat,599406,2,Dondarguda,0,68,0,68
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankapur,303262,Chinchughat,599406,3,Gundamloddi,0,88,0,88
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankapur,303262,Chinchughat,599406,4,Laxmanguda,0,47,0,47
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankapur,303262,Chinchughat,599406,5,Pendurloddi,0,168,17,185
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankoli,16011,Ankoli,20031,1,Ankoli,153,646,997,1796
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankoli,16011,Ankoli,20031,2,Kolamgud,0,0,386,386
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankoli,16011,Ankoli,20031,3,Sirikonda,0,73,72,145
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ankoli,16011,Kottur,20033,1,Kottur,9,230,37,276
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Arli(B),16000,Arli-b,599390,1,Arli-b,73,90,678,841
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Asodha,303264,Asoda Burki,20036,1,Asoda Burki,0,159,4,163
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Asodha,303264,Asoda Burki,20036,2,Bopppur,0,140,5,145
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Asodha,303264,Asoda Burki,20036,3,Burki,0,60,4,64
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Asodha,303264,Asoda Burki,20036,4,Maruthiguda,0,53,0,53
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Asodha,303264,Asoda Burki,20036,5,Poonaguda,0,224,5,229
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Bheemseri,16001,Bheemsari,20017,1,Bheemsari,357,0,1990,2347
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Burnoor,303267,Burnur,607754,1,Burnoor,0,127,234,361
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chanda,255358,Chanda,607324,1,Chanda,339,0,2531,2870
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chichdari,303269,Chisdhari,599458,1,Chisdhari,187,292,0,479
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chichdari,303269,Chisdhari,599458,2,Rajuguda,0,88,0,88
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chichdari,303269,Khanapur,599456,1,Harijanwada,0,135,0,135
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chichdari,303269,Khanapur,599456,2,Lambadi Tanda,0,146,0,146
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chichdari,303269,Khanapur,599456,3,Sevadasnagar,0,75,0,75
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chinchughat,16012,Chinchughat,599406,1,Chinchughat,0,364,10,374
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chinchughat,16012,Chinchughat,599406,2,Chinna Chinchughat,0,100,0,100
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chinchughat,16012,Chinchughat,599406,3,Jandaguda,0,68,0,68
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chinchughat,16012,Chinchughat,599406,4,Khandanguda,42,0,0,42
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chinchughat,16012,Chinchughat,599406,5,New Chinchughat,0,99,0,99
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Chityalbori,303272,Kachikanti,20028,1,Chityalbori,187,381,2,570
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Dimma,303274,DIMMA,698762,1,Dimma,170,0,83,253
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Hathigutta,303275,Hathiguda,599453,1,Hathiguda,0,138,0,138
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Hathigutta,303275,Khanapur,599456,1,Rajulguda,0,64,0,64
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Jamdapur,255220,Jamdapur,607157,1,Jamdapur,393,0,902,1295
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Jamuldhari,303276,Jamuldhari,20037,1,Jamuldhari,5,204,29,238
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Jamuldhari,303276,Ramai,20024,1,Addagutta,0,83,83,166
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Jamuldhari,303276,Ramai,20024,2,Kolamguda,0,104,6,110
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Kachkanti,16009,Kachikanti,20028,1,Kachikanti,0,492,14,506
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khanapur-Ch,240405,Khanapur,599456,1,Khanapur,1,180,0,181
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khanapur-Ch,240405,Khanapur,599456,2,Kolamguda,0,88,0,88
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,1,Darloddi,0,150,0,150
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,2,Khandala,0,384,6,390
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,3,Lambaditanda,0,261,0,261
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,4,Molalgutta,0,109,0,109
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,5,Molalgutta2,0,109,0,109
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,6,Pothaguda,0,104,9,113
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,7,Pothaguda2,0,104,9,113
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Khandala,16016,Khandala,599420,8,Rajuguda,0,52,0,52
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Kumbhajheri,16007,Kumbhajhari,20026,1,Kumbhajhari,104,102,189,395
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Kumbhajheri,16007,Kumbhajhari,20026,2,Shivaghat,0,133,21,154
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Kumbhajheri,16007,Takli,599402,1,Takli,0,32,0,32
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Landasangvi,15999,Landasangivi,20014,1,Landasangivi,142,109,1379,1630
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Linguguda,303277,Pippaldhari,20035,1,Dharloddi,0,104,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Linguguda,303277,Pippaldhari,20035,2,Linguguda,0,260,0,260
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lohara,303278,Lohara,20040,1,Chilatiguda,0,104,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lohara,303278,Lohara,20040,2,Harijanguda,104,0,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lohara,303278,Lohara,20040,3,Jandguda,0,104,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lohara,303278,Lohara,20040,4,Lohara,212,0,0,212
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lohara,303278,Lohara,20040,5,Salaiguda,0,104,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lohara,303278,Lohara,20040,6,Shivaguda,7,71,0,78
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lokari,16017,Lokari,20041,1,Chinna Lokari,0,104,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Lokari,16017,Lokari,20041,2,Lokari,51,414,398,863
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Mamidiguda,303279,Wanwat,599430,1,Chinna Salfalguda,0,78,0,78
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Mamidiguda,303279,Wanwat,599430,2,Mamidiguda,0,676,0,676
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Mamidiguda,303279,Wanwat,599430,3,Salfalguda,0,62,0,62
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,New Rampur,303280,Ramai,20024,1,New Rampur,21,88,19,128
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,New Rampur,303280,Ramai,20024,2,Rampur,36,21,471,528
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Pedda Maleborigaon,303281,Chinchughat,599406,1,Dharmuguda,0,31,0,31
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Pedda Maleborigaon,303281,Chinchughat,599406,2,Tekdiguda,0,75,0,75
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Pedda Maleborigaon,303281,Maleboregaon,20034,1,Kolamguda,95,230,37,362
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Pedda Maleborigaon,303281,Maleboregaon,20034,2,Waghapur,259,229,733,1221
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Pedda Maleborigaon,303281,MALEBOREGAON(027),702707,1,Chinna Maleboregaon,0,236,0,236
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Pedda Maleborigaon,303281,MALEBOREGAON(027),702707,2,Kb Colony,0,112,0,112
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Pedda Maleborigaon,303281,MALEBOREGAON(027),702707,3,Maleboregaon,0,219,27,246
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Pippaldhari,16013,Pippaldhari,20035,1,Ayyaguda,0,52,0,52
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Pippaldhari,16013,Pippaldhari,20035,2,Dayyaguda,0,61,0,61
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Pippaldhari,16013,Pippaldhari,20035,3,Mamidikori,0,89,0,89
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Pippaldhari,16013,Pippaldhari,20035,4,Pippaldhari,447,81,276,804
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Pochara,240402,Pochera,599361,1,Pochera,434,5,747,1186
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Ramai,16006,Ramai,20024,1,Ramai,154,48,510,712
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Thantholi,16010,Tantoli,20030,1,Chintaguda,0,68,58,126
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Thantholi,16010,Tantoli,20030,2,Societyguda,0,161,0,161
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Thantholi,16010,Tantoli,20030,3,Tantoli,141,172,1253,1566
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Tippa,303282,Hathiguda,599453,1,Maregaon,0,138,0,138
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Tippa,303282,Khanapur,599456,1,Boringguda,0,68,0,68
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Tippa,303282,Tippa,599440,1,Kolamguda,0,88,0,88
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Tippa,303282,Tippa,599440,2,Tippa,0,178,45,223
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Wanwat,240403,Wanwat,599430,1,Mangli,0,62,0,62
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Wanwat,240403,Wanwat,599430,2,Wanwat,27,547,498,1072
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Yapalguda,16008,Yapalguda,20027,1,Ramlulaguda,0,73,156,229
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Yapalguda,16008,Yapalguda,20027,2,Yapalguda,342,5,2118,2465
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Yeshwanthguda,303283,Yapalguda,20027,1,Kothaguda,0,156,0,156
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Yeshwanthguda,303283,Yapalguda,20027,2,Mathadiguda,0,598,78,676
As on (01/04/2025),Telangana,36,Adilabad,21,Adilabad Rural,822,Yeshwanthguda,303283,Yapalguda,20027,3,Yaswanthguda,0,124,2,126
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Ananthapur,303289,Ananthapur,600792,1,Ananthapur,0,188,0,188
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Ananthapur,303289,Ananthapur,600792,2,New Ananthapur,0,78,0,78
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Ananthapur,303289,Tembi,20212,1,Ratnapur,239,0,0,239
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Andhuguda,303290,Jatharla,20217,1,Andhuguda,0,258,0,258
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Andhuguda,303290,Jatharla,20217,2,Chinthakarra,0,99,0,99
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Andhuguda,303290,Jatharla,20217,3,Kothaguda,0,275,0,275
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Bazarhathnoor,16147,Bazarhathnoor,600819,1,Bazarhathnoor,639,404,4569,5612
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Bazarhathnoor,16147,Bazarhathnoor,600819,2,Chinhathnoor,0,190,0,190
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Bhosra,303291,Bosra,20220,1,Bosra,166,0,220,386
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Bhutai-b,16143,Bhutai-b,20218,1,Bhutai-b,104,207,339,650
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Bhutai-b,16143,Bhutai-b,20218,2,Kolamguda,0,231,0,231
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Bhutai-K,16137,Buthai-k,20209,1,Buthai-k,9,200,74,283
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Burkapally,303292,Gokonda,20215,1,Burkapally,0,198,198,396
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Chandunaik Thanda,303293,Bhutai-b,20218,1,Buthaithanda,35,156,1523,1714
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Chandunaik Thanda,303293,Bhutai-b,20218,2,Mahadevanagar,0,45,0,45
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Chintal Sangive,303294,Chinttalsanghi,20216,1,Chinttalsanghi,41,232,14,287
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Chintal Sangive,303294,Chinttalsanghi,20216,2,Maduguda,0,518,0,518
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Darampuri,16140,Dharampuri,20214,1,Dharampuri,1,286,0,287
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Darampuri,16140,Yesapur,20213,1,Yesapur,0,178,197,375
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Dedra,303295,Girjai,600752,1,Dedra,0,294,22,316
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Dedra,303295,Girjai,600752,2,Umarada-g,0,73,0,73
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Dehgaon,16144,Dahegaon,20219,1,Dehagoan,368,44,655,1067
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Dehgaon,16144,Dahegaon,20219,2,New Dahegaon,184,22,328,534
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Dehgaon,16144,Dahegaon,20219,3,Sarpanchguda,0,98,2,100
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Dehgaon,16144,Dahegaon,20219,4,Tukkanpalli,0,130,0,130
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Dignoor,303296,Dignoor,20221,1,Dignoor,125,161,323,609
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Gangapur,303297,GANGAPUR,693308,1,Gangapur,101,120,141,362
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Gangapur,303297,Rampur,600796,1,Laxmithanda,0,218,0,218
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Girjai,303298,Buthai-k,20209,1,Indiranagar,0,31,0,31
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Girjai,303298,Girjai,600752,1,Baddunaiktanda,0,86,0,86
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Girjai,303298,Girjai,600752,2,Girijai,0,260,0,260
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Girjai,303298,Girjai,600752,3,Umarda-b,0,175,0,175
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Girnur,16146,Balanpur,600809,1,Balanpur,12,111,69,192
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Girnur,16146,Balanpur,600809,2,Kothapally,0,191,0,191
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Girnur,16146,Girnoor,600803,1,Girnoor,281,101,1005,1387
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Gokonda,16141,Dhabadi,607161,1,Dhabadi,0,3,146,149
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Gokonda,16141,Gokonda,20215,1,Gokonda,68,132,278,478
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Gulab Thanda,303299,Morkandi,600779,1,Gulabtanda,26,173,0,199
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Gulab Thanda,303299,Umarda-b,607162,1,Indiranagar,0,43,0,43
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Harkai,303300,Harkai,600789,1,Bemalnaiktanda,0,54,90,144
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Harkai,303300,Harkai,600789,2,Harkai,0,83,0,83
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Jatarla,16142,Jatharla,20217,1,Jatharla,0,1142,62,1204
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Jatarla,16142,Jatharla,20217,2,Sriramnagar,47,140,0,187
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Kandly,303301,Kandly,20222,1,Kandly,230,192,0,422
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Kandly,303301,Mohda,20224,1,Mohda,0,172,0,172
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Kinnerpally,303302,Kinnerpally,600790,1,Kinnerpally,150,0,50,200
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Kolahari,303303,Kolhari,20223,1,Kolhari,25,244,135,404
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Manjram Thanda,303304,Tembi,20212,1,Manjeramtanda,5,16,355,376
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Mankapur,303305,Mankapur,20210,1,Mankapur,0,182,41,223
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Morkhandi,240430,Morkandi,600779,1,Morkandi,263,231,33,527
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Morkhandi,240430,Morkandi,600779,2,Nadimpally,0,69,0,69
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Morkhandi,240430,Morkandi,600779,3,Upperpally,31,209,0,240
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Pipri,16149,Pipree,20226,1,Pipree,553,395,1580,2528
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Rampur,16145,Bosra,20220,1,Jalluguda,0,170,22,192
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Rampur,16145,Bosra,20220,2,Soneraoguda,0,171,0,171
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Rampur,16145,Rampur,600796,1,Rampur,15,83,92,190
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Tembi,16139,Tembi,20212,1,Chunnumiatanda,0,93,0,93
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Tembi,16139,Tembi,20212,2,Tembi,42,104,538,684
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Warthamanoor,16148,Warthamanoor,20225,1,Warthamanoor,418,88,580,1086
As on (01/04/2025),Telangana,36,Adilabad,21,Bazarhatnoor,829,Warthamanoor,16148,Warthamanoor,20225,2,Yellaiahpalli,32,229,11,272
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Awalpur,16047,Awalpur,20078,1,Awalpur,170,150,921,1241
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Bela,16056,Bela,20090,1,Bela,471,518,3388,4377
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Bhadi,16059,Bhadi,600047,1,Bhadi,38,141,617,796
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Bhadi,16059,Bhadi,600047,2,Nandiguda,0,35,12,47
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Bhadi,16059,Bhadi,600047,3,Thalaiguda,0,30,0,30
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Bhadi,16059,Bhadi,600047,4,Wadaguda,0,50,65,115
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Bhadi,16059,Bhadi,600047,5,Yeti,0,53,97,150
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Bhavaniguda,303311,Chandpally,20100,1,Bhavaniguda C,0,322,0,322
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Bhavaniguda,303311,Chandpally,20100,2,Pusamguda,0,98,0,98
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Bhedoda,255224,Bedoda,607166,1,Bedoda,27,45,1076,1148
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Chandpalle,16063,Chandpally,20100,1,Chandpally,24,400,215,639
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Chandpalle,16063,Ponala,600059,1,Kolamguda,0,116,0,116
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Chandpalle,16063,Ponala,600059,2,Maruthiguda,0,175,8,183
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Chaprala,16062,Chaprala,20098,1,Chaprala,0,662,1074,1736
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Dehegoan,16050,Dahagoan,20081,1,Dahagaon,139,156,1305,1600
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Dhoptala,288915,Doptala,651928,1,Doptala,44,45,790,879
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Douna,303313,Downa,600094,1,Downa,0,286,18,304
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Douna,303313,Sayeedpur,600092,1,Remuguda,0,150,0,150
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Dubbaguda,303316,Shahaz,600111,1,Dubbaguda-s,0,275,0,275
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Dubbaguda,303316,Shahaz,600111,2,Shahaz,0,147,0,147
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Dubbaguda,303316,Shahaz,600111,3,Temruguda,0,104,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Ekori,303318,Ekory,20092,1,Bhavvaniguda,0,49,318,367
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Ekori,303318,Ekory,20092,2,Ekory,25,189,26,240
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Ganeshpur,303321,Khadki,600074,1,Ganeshpur,0,114,0,114
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Ganeshpur,303321,Khadki,600074,2,Khadki,2,134,78,214
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Ganeshpur,303321,Khadki,600074,3,Raipur Thanda,0,156,0,156
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Ganeshpur,303321,Sonkhas,600072,1,Raipur Kolam,0,104,0,104
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Guda,16053,Guda,599979,1,Guda,40,34,570,644
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Junoni,16061,Junoooni,20097,1,Junooni,7,78,630,715
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Kapsi,16054,Kapsi,20088,1,Kapsi,0,55,611,666
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Khara,303323,Toyaguda,600100,1,Garkaguda,0,198,0,198
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Khara,303323,Toyaguda,600100,2,New Khara,0,203,0,203
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Khara,303323,Toyaguda,600100,3,Vanjriguda,0,73,0,73
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Khogdur,16051,Khogdur,20082,1,Khogdur,115,92,978,1185
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Kobhai,16052,Kobbai,20085,1,Kobbai,0,285,540,825
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Kobhai,16052,Kobbai,20085,2,Shankarguda,0,25,0,25
As on (01/04/2025),Telangana,36,Adilabad,21,Bela,824,Kobhai,16052,Kobbai,20085,3,Upasnala,0,61,0,61
