source_file,year,state_code,state_name,ac_number,ac_name,ac_reservation,pc_number,pc_name,part_number,polling_station_number_and_name,polling_station_address,polling_station_type,auxiliary_polling_stations,serial_start,serial_end,male,female,third_gender,total,district,main_town_or_village,post_office,police_station,tehsil,subdivision,pin_code
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p118_e191c44a\139_p118_e191c44a.json,,,,139,NANDYAL,,17,NANDYAL,118,118 - NANDYAL,"SPG HIGH SCHOOL, Main Building,WEST SIDE CLASS ROOM - 2 NANDYAL",,0,,,461,445,0,906,NANDYAL,NANDYAL,NANDYAL,3 TOWN POLICE STATION NANDYAL,NANDYAL,NANDYAL,518501
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p119_0595f514\139_p119_0595f514.json,,,,,,,,,119,,,,,,,623,629,0,1252,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p11_b30c11d8\139_p11_b30c11d8.json,2024,S01,Andhra Pradesh,,,,,,,11 - BHIMAVARAM,"MPUP SCHOOLU,PADAMARA ROOM BHEEMAVARAM",,0,1,994,492,491,0,983,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p120_b8d52684\139_p120_b8d52684.json,,,,139,NANDYAL,,17,NANDYAL,,,,,0,1,1045,480,548,2,1030,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p121_613b9018\139_p121_613b9018.json,,,,139,NANDYAL,,17,NANDYAL,,,"BBJ SPG, Jr.College Staff room Nandyal NANDYAL",,0,,,408,419,0,827,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p122_e96bedfb\139_p122_e96bedfb.json,,,,,,,,,,122 - NANDYALA,"S.P.G. H.School, Main Building, North Wing R.No.5, NANDYALA",,,,,,,,,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p123_75d926fd\139_p123_75d926fd.json,,,,139,NANDYAL,,17,,123,,,,0,,,639,652,0,1291,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p124_847918bc\139_p124_847918bc.json,,,,139,NANDYAL,,17,NANDYAL,124,,,,0,,,,,,,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p125_a7548512\139_p125_a7548512.json,,,,139,NANDYAL,,17,NANDYAL,125,,,,,,,452,493,0,945,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p126_12070b67\139_p126_12070b67.json,,,,139,NANDYAL,,17,,,,"MUNICIPAL UPPAR PRIMARY SCHOOL, 2nd CLASS ROOM, NORTH SIDE, MS NAGAR, NANDYAL, Nandyal",,,,,437,504,0,941,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p127_0ae87269\139_p127_0ae87269.json,,S01,Andhra Pradesh,139,NANDYAL,,17,,,,"MUNICIPAL UPPAR PRIMARY SCHOOL, 2ND CLASS ROOM, MS NAGAR, NANDYAL, MUNICIPAL UPPAR PRIMARY SCHOOL, NANDYAL",GENERAL,0,,,,,,,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p128_86f297a0\139_p128_86f297a0.json,,,,139,NANDYAL,,17,NANDYAL,128,,,,0,,,600,653,1,1254,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p129_efa43a56\139_p129_efa43a56.json,,,,,,,,,,,,,,,,479,522,0,1001,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p12_850cad62\139_p12_850cad62.json,,,,139,NANDYAL,,17,NANDYAL,12,12 - KOTHA PALLI,"Z P H SCOOL,10 VA TARAGATI ROOM ,KOTHAPALLE",,,,,463,486,0,949,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p130_9c668339\139_p130_9c668339.json,,,,139,NANDYAL (GEN),,17,NANDYAL (GEN),130,130 - NANDYALA,"B.C BOYS HOSTEL, ROOM NO 7 DEVANAGAR 28-1051 A to 28-1051, B.C BOYS HOSTEL NANDYAL",,,1,1262,584,638,1,1223,NANDYAL,NANDYAL,NANDYAL,3 TOWN POLICE STATION NANDYAL,NANDYAL,NANDYAL,518501
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p131_b789c19b\139_p131_b789c19b.json,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p132_4dedb3d5\139_p132_4dedb3d5.json,2024,S01,Andhra Pradesh,139,NANDYAL,,17,NANDYAL,132,,,,0,,,628,696,1,1325,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p133_bd456b56\139_p133_bd456b56.json,,,,139,NANDYAL,,17,,133,,"B.C. Boys Hostel Room No 5, Deva nagar, Nandyal, B.C. Boys Hostel, Devanagar, Nandyal",,,,,477,396,0,873,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p134_7a4300ee\139_p134_7a4300ee.json,,,,139,NANDYAL,GEN,17,NANDYAL,134,134 - NANDYALA,"M.P.SCHOOL, 1st Class R, Old Building, Devanagar, DEVA NAGAR,NANDYALA",,,,,,,,,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p135_7450e074\139_p135_7450e074.json,,,,139,NANDYAL,,,,135,135 - NANDYALA,"M.P.SCHOOL, 2nd Class, Old Building, Devanagar, NANDYALA",,,,,,,,,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p136_680ead30\139_p136_680ead30.json,,,,139,NANDYAL,,,,136,136 - NANDYAL,"M.P.SCHOOL,3rd Class Room, East Wing,NewBuild.Deva NANDYALA",,,,,461,503,0,964,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p137_25e94972\139_p137_25e94972.json,,,,139,NANDYAL,,17,NANDYAL,137,,,,,,,687,811,1,1499,,,,,,,
